0.000000
70.000000
p1	o6	0.000000
p1	o7	1.000000
p1	o8	0.000000
p1	o9	0.000000
p1	o10	0.000000
p2	o6	0.000000
p2	o7	0.000000
p2	o8	0.000000
p2	o9	0.000000
p2	o10	1.000000
p3	o6	1.000000
p3	o7	0.000000
p3	o8	0.000000
p3	o9	0.000000
p3	o10	0.000000
p4	o6	0.000000
p4	o7	0.000000
p4	o8	1.000000
p4	o9	0.000000
p4	o10	0.000000
p5	o6	0.000000
p5	o7	0.000000
p5	o8	0.000000
p5	o9	1.000000
p5	o10	0.000000
o6	d11	0.000000
o6	d12	0.000000
o6	d13	1.000000
o6	d14	0.000000
o6	d15	0.000000
o7	d11	0.000000
o7	d12	1.000000
o7	d13	0.000000
o7	d14	0.000000
o7	d15	0.000000
o8	d11	0.000000
o8	d12	0.000000
o8	d13	0.000000
o8	d14	1.000000
o8	d15	0.000000
o9	d11	1.000000
o9	d12	0.000000
o9	d13	0.000000
o9	d14	0.000000
o9	d15	0.000000
o10	d11	0.000000
o10	d12	0.000000
o10	d13	0.000000
o10	d14	0.000000
o10	d15	1.000000
d11	o6	0.000000
d11	o7	0.000000
d11	o8	0.000000
d11	o9	0.000000
d11	o10	0.000000
d12	o6	0.000000
d12	o7	0.000000
d12	o8	0.000000
d12	o9	0.000000
d12	o10	0.000000
d13	o6	0.000000
d13	o7	0.000000
d13	o8	0.000000
d13	o9	0.000000
d13	o10	0.000000
d14	o6	0.000000
d14	o7	0.000000
d14	o8	0.000000
d14	o9	0.000000
d14	o10	0.000000
d15	o6	0.000000
d15	o7	0.000000
d15	o8	0.000000
d15	o9	0.000000
d15	o10	0.000000
d11	p1	0.000000
d11	p2	0.000000
d11	p3	1.000000
d11	p4	0.000000
d11	p5	0.000000
d12	p1	0.000000
d12	p2	1.000000
d12	p3	0.000000
d12	p4	0.000000
d12	p5	0.000000
d13	p1	0.000000
d13	p2	0.000000
d13	p3	0.000000
d13	p4	0.000000
d13	p5	1.000000
d14	p1	1.000000
d14	p2	0.000000
d14	p3	0.000000
d14	p4	0.000000
d14	p5	0.000000
d15	p1	0.000000
d15	p2	0.000000
d15	p3	0.000000
d15	p4	1.000000
d15	p5	0.000000
d11	19.000000
d12	21.000000
d13	19.000000
d14	6.000000
d15	16.000000
