param: P: person :=
p1 1
p2 1
p3 1
p4 1
p5 1
p6 1
p7 1
p8 1
p9 1
p10 1
p11 1
p12 1
p13 1
p14 1
p15 1
p16 1
p17 1
p18 1
p19 1
p20 1
;
param: O: supply :=
o21 1
o22 2
o23 4
o24 1
o25 3
o26 1
o27 4
o28 3
o29 5
o30 1
o31 4
o32 3
o33 5
o34 1
o35 5
o36 1
o37 2
o38 3
o39 3
o40 3
;
param: D: demand :=
d41 1
d42 1
d43 2
d44 3
d45 4
d46 5
d47 4
d48 5
d49 2
d50 2
d51 4
d52 3
d53 1
d54 3
d55 1
d56 1
d57 3
d58 2
d59 3
d60 5
;
param : olb:=
o21 1
o22 1
o23 1
o24 1
o25 1
o26 1
o27 1
o28 1
o29 1
o30 1
o31 1
o32 1
o33 1
o34 1
o35 1
o36 1
o37 1
o38 1
o39 1
o40 1
;
param : oub:=
o21 100
o22 100
o23 100
o24 100
o25 100
o26 100
o27 100
o28 100
o29 100
o30 100
o31 100
o32 100
o33 100
o34 100
o35 100
o36 100
o37 100
o38 100
o39 100
o40 100
;
param : dlb:=
d41 7
d42 5
d43 4
d44 5
d45 2
d46 7
d47 1
d48 1
d49 6
d50 2
d51 3
d52 5
d53 2
d54 2
d55 6
d56 1
d57 4
d58 6
d59 4
d60 7
;
param : dub:=
d41 30
d42 32
d43 30
d44 33
d45 35
d46 33
d47 28
d48 26
d49 28
d50 33
d51 34
d52 30
d53 27
d54 32
d55 28
d56 35
d57 28
d58 32
d59 33
d60 33
;
param : timeod:=
o21 d41 10
o21 d42 14
o21 d43 5
o21 d44 5
o21 d45 6
o21 d46 8
o21 d47 12
o21 d48 14
o21 d49 6
o21 d50 12
o21 d51 8
o21 d52 16
o21 d53 14
o21 d54 8
o21 d55 7
o21 d56 16
o21 d57 10
o21 d58 11
o21 d59 20
o21 d60 6
o22 d41 7
o22 d42 12
o22 d43 14
o22 d44 10
o22 d45 20
o22 d46 8
o22 d47 17
o22 d48 5
o22 d49 5
o22 d50 10
o22 d51 18
o22 d52 7
o22 d53 6
o22 d54 19
o22 d55 15
o22 d56 6
o22 d57 15
o22 d58 18
o22 d59 15
o22 d60 10
o23 d41 20
o23 d42 12
o23 d43 19
o23 d44 12
o23 d45 20
o23 d46 5
o23 d47 16
o23 d48 14
o23 d49 9
o23 d50 15
o23 d51 17
o23 d52 8
o23 d53 5
o23 d54 9
o23 d55 15
o23 d56 20
o23 d57 8
o23 d58 19
o23 d59 9
o23 d60 5
o24 d41 8
o24 d42 6
o24 d43 11
o24 d44 10
o24 d45 18
o24 d46 9
o24 d47 10
o24 d48 7
o24 d49 16
o24 d50 17
o24 d51 8
o24 d52 13
o24 d53 16
o24 d54 19
o24 d55 18
o24 d56 16
o24 d57 11
o24 d58 19
o24 d59 18
o24 d60 7
o25 d41 7
o25 d42 17
o25 d43 7
o25 d44 20
o25 d45 16
o25 d46 13
o25 d47 18
o25 d48 12
o25 d49 17
o25 d50 5
o25 d51 17
o25 d52 10
o25 d53 7
o25 d54 12
o25 d55 15
o25 d56 14
o25 d57 15
o25 d58 15
o25 d59 9
o25 d60 16
o26 d41 11
o26 d42 5
o26 d43 18
o26 d44 16
o26 d45 9
o26 d46 13
o26 d47 18
o26 d48 16
o26 d49 12
o26 d50 7
o26 d51 14
o26 d52 11
o26 d53 15
o26 d54 13
o26 d55 14
o26 d56 12
o26 d57 19
o26 d58 16
o26 d59 18
o26 d60 12
o27 d41 13
o27 d42 17
o27 d43 7
o27 d44 19
o27 d45 16
o27 d46 5
o27 d47 7
o27 d48 16
o27 d49 17
o27 d50 9
o27 d51 13
o27 d52 17
o27 d53 16
o27 d54 14
o27 d55 5
o27 d56 11
o27 d57 12
o27 d58 15
o27 d59 15
o27 d60 6
o28 d41 12
o28 d42 18
o28 d43 10
o28 d44 8
o28 d45 11
o28 d46 7
o28 d47 13
o28 d48 14
o28 d49 9
o28 d50 14
o28 d51 18
o28 d52 16
o28 d53 6
o28 d54 7
o28 d55 8
o28 d56 7
o28 d57 20
o28 d58 19
o28 d59 5
o28 d60 18
o29 d41 5
o29 d42 8
o29 d43 17
o29 d44 17
o29 d45 6
o29 d46 15
o29 d47 17
o29 d48 11
o29 d49 10
o29 d50 19
o29 d51 8
o29 d52 18
o29 d53 8
o29 d54 12
o29 d55 19
o29 d56 20
o29 d57 14
o29 d58 15
o29 d59 17
o29 d60 5
o30 d41 11
o30 d42 12
o30 d43 18
o30 d44 10
o30 d45 10
o30 d46 10
o30 d47 12
o30 d48 17
o30 d49 6
o30 d50 14
o30 d51 17
o30 d52 8
o30 d53 19
o30 d54 20
o30 d55 16
o30 d56 20
o30 d57 10
o30 d58 18
o30 d59 16
o30 d60 9
o31 d41 20
o31 d42 8
o31 d43 15
o31 d44 16
o31 d45 10
o31 d46 11
o31 d47 10
o31 d48 13
o31 d49 17
o31 d50 11
o31 d51 19
o31 d52 10
o31 d53 14
o31 d54 13
o31 d55 17
o31 d56 17
o31 d57 5
o31 d58 15
o31 d59 7
o31 d60 17
o32 d41 16
