param: P: person :=
p0 1
p1 1
p2 1
p3 1
p4 1
p5 1
p6 1
p7 1
p8 1
p9 1
p10 1
p11 1
p12 1
p13 1
p14 1
p15 1
p16 1
p17 1
p18 1
p19 1
p20 1
p21 1
p22 1
p23 1
p24 1
p25 1
p26 1
p27 1
p28 1
p29 1
p30 1
p31 1
p32 1
p33 1
p34 1
p35 1
p36 1
p37 1
p38 1
p39 1
p40 1
p41 1
p42 1
p43 1
p44 1
p45 1
p46 1
p47 1
p48 1
p49 1
;
param: O: supply :=
o51 3
o52 1
o53 2
o54 3
o55 5
o56 1
o57 4
o58 2
o59 1
o60 4
o61 2
o62 4
o63 1
o64 2
o65 1
o66 1
o67 5
o68 1
o69 2
o70 2
o71 2
o72 3
o73 2
o74 4
o75 3
o76 5
o77 4
o78 3
o79 5
o80 5
o81 4
o82 3
o83 3
o84 3
o85 5
o86 2
o87 4
o88 5
o89 4
o90 2
o91 4
o92 1
o93 5
o94 3
o95 4
o96 2
o97 2
o98 5
o99 2
o100 2
;
param: D: demand :=
d101 4
d102 5
d103 2
d104 2
d105 4
d106 1
d107 2
d108 4
d109 4
d110 5
d111 2
d112 2
d113 2
d114 1
d115 1
d116 4
d117 5
d118 3
d119 3
d120 3
d121 2
d122 3
d123 2
d124 2
d125 5
d126 4
d127 4
d128 3
d129 1
d130 2
d131 1
d132 5
d133 4
d134 4
d135 5
d136 4
d137 4
d138 4
d139 4
d140 4
d141 2
d142 2
d143 3
d144 3
d145 4
d146 1
d147 3
d148 2
d149 1
d150 1
;

param : olb:=
o51 1
o52 1
o53 1
o54 1
o55 1
o56 1
o57 1
o58 1
o59 1
o60 1
o61 1
o62 1
o63 1
o64 1
o65 1
o66 1
o67 1
o68 1
o69 1
o70 1
o71 1
o72 1
o73 1
o74 1
o75 1
o76 1
o77 1
o78 1
o79 1
o80 1
o81 1
o82 1
o83 1
o84 1
o85 1
o86 1
o87 1
o88 1
o89 1
o90 1
o91 1
o92 1
o93 1
o94 1
o95 1
o96 1
o97 1
o98 1
o99 1
o100 1
;
param : oub:=
o51 100
o52 100
o53 100
o54 100
o55 100
o56 100
o57 100
o58 100
o59 100
o60 100
o61 100
o62 100
o63 100
o64 100
o65 100
o66 100
o67 100
o68 100
o69 100
o70 100
o71 100
o72 100
o73 100
o74 100
o75 100
o76 100
o77 100
o78 100
o79 100
o80 100
o81 100
o82 100
o83 100
o84 100
o85 100
o86 100
o87 100
o88 100
o89 100
o90 100
o91 100
o92 100
o93 100
o94 100
o95 100
o96 100
o97 100
o98 100
o99 100
o100 100
;

param : dlb:=
d101 6
d102 6
d103 6
d104 7
d105 1
d106 4
d107 7
d108 2
d109 7
d110 3
d111 4
d112 5
d113 5
d114 2
d115 5
d116 7
d117 7
d118 6
d119 6
d120 3
d121 7
d122 5
d123 5
d124 2
d125 4
d126 4
d127 3
d128 7
d129 6
d130 1
d131 7
d132 2
d133 7
d134 5
d135 5
d136 2
d137 5
d138 6
d139 6
d140 7
d141 2
d142 4
d143 6
d144 3
d145 6
d146 4
