param : P:person:=
p1 1
p2 1
p3 1
p4 1
p5 1;

param : O:supply:=
o6 1
o7 1
o8 1
o9 1
o10 1;

param : D:demand:=
d11 1
d12 1
d13 1
d14 1
d15 1;

param : olb:=
o6 1
o7 1
o8 1
o9 1
o10 1;

param : oub:=
o6 100
o7 100
o8 100
o9 100
o10 100;

param : dlb:=
d11 6
d12 3
d13 7
d14 2
d15 6;

param : dub:=
d11 20
d12 18
d13 17
d14 26
d15 20;

param : timeod:=
o6 d11 12
o6 d12 17
o6 d13 18
o6 d14 8
o6 d15 5
o7 d11 20
o7 d12 20
o7 d13 18
o7 d14 7
o7 d15 7
o8 d11 10
o8 d12 19
o8 d13 14
o8 d14 5
o8 d15 5
o9 d11 18
o9 d12 15
o9 d13 9
o9 d14 7
o9 d15 10
o10 d11 7
o10 d12 19
o10 d13 7
o10 d14 10
o10 d15 15
;

param : timedo:=
d11 o6 7
d11 o7 9
d11 o8 5
d11 o9 18
d11 o10 12
d12 o6 9
d12 o7 7
d12 o8 19
d12 o9 12
d12 o10 6
d13 o6 15
d13 o7 14
d13 o8 8
d13 o9 16
d13 o10 9
d14 o6 14
d14 o7 15
d14 o8 17
d14 o9 10
d14 o10 19
d15 o6 9
d15 o7 19
d15 o8 18
d15 o9 10
d15 o10 7
;

param : cost1:=
p1 o6 3
p1 o7 7
p1 o8 4
p1 o9 6
p1 o10 4
p2 o6 5
p2 o7 4
p2 o8 1
p2 o9 2
p2 o10 7
p3 o6 3
p3 o7 1
p3 o8 5
p3 o9 8
p3 o10 7
p4 o6 2
p4 o7 8
p4 o8 5
p4 o9 1
p4 o10 1
p5 o6 6
p5 o7 6
p5 o8 5
p5 o9 7
p5 o10 10;

param : cost2:=
o6 d11 5
o6 d12 10
o6 d13 5
o6 d14 6
o6 d15 7
o7 d11 1
o7 d12 7
o7 d13 9
o7 d14 1
o7 d15 2
o8 d11 8
o8 d12 1
o8 d13 4
o8 d14 6
o8 d15 7
o9 d11 5
o9 d12 8
o9 d13 6
o9 d14 4
o9 d15 1
o10 d11 3
o10 d12 1
o10 d13 6
o10 d14 1
o10 d15 6;

param : cost3:=
d11 o6 6
d11 o7 4
d11 o8 5
d11 o9 3
d11 o10 9
d12 o6 5
d12 o7 10
d12 o8 5
d12 o9 9
d12 o10 2
d13 o6 7
d13 o7 3
d13 o8 7
d13 o9 9
d13 o10 6
d14 o6 9
d14 o7 7
d14 o8 3
d14 o9 2
d14 o10 4
d15 o6 6
d15 o7 9
d15 o8 1
d15 o9 10
d15 o10 6;

param : cost4:=
d11 p1 6
d11 p2 4
d11 p3 1
d11 p4 10
d11 p5 1
d12 p1 10
d12 p2 10
d12 p3 5
d12 p4 9
d12 p5 10
d13 p1 6
d13 p2 9
d13 p3 2
d13 p4 5
d13 p5 2
d14 p1 9
d14 p2 7
d14 p3 6
d14 p4 10
d14 p5 10
d15 p1 4
d15 p2 7
d15 p3 5
d15 p4 3
d15 p5 2;
